User Address,Asset,Side,Net Volume,Avg. Entry Price,Position Value,First Trade,Last Trade
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,ETH,Long,900.0000,4650.93,4185836.18,2025/10/07 15:00:38,2025/10/07 18:38:57
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,ASTER,Long,675000.0000,2.05,1384132.22,2025/10/07 14:54:08,2025/10/07 17:28:12
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,PUMP,Long,125000000.0000,0.01,791715.63,2025/10/07 16:09:44,2025/10/07 17:52:08
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,HYPE,Long,10000.0000,45.59,455862.18,2025/10/07 17:30:06,2025/10/07 17:52:37
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,XPL,Long,300000.0000,0.97,292413.99,2025/10/07 14:46:49,2025/10/07 17:42:39
0x044d0932b02f5045bc00e0a6818b7f98ef504681,HYPE,Short,145306.0300,46.51,6757697.26,2025/10/07 01:56:02,2025/10/07 16:44:43
0x044d0932b02f5045bc00e0a6818b7f98ef504681,XRP,Long,1661877.0000,2.90,4818169.22,2025/10/07 17:59:01,2025/10/07 18:37:44
0x044d0932b02f5045bc00e0a6818b7f98ef504681,BTC,Short,19.9142,125240.07,2494056.98,2025/10/07 01:56:58,2025/10/07 02:00:32
0x044d0932b02f5045bc00e0a6818b7f98ef504681,XPL,Short,1123590.0000,1.06,1185703.81,2025/10/07 01:59:27,2025/10/07 05:13:12
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,BTC,Short,275.0000,118885.09,32693400.00,2025/09/12 07:55:36,2025/10/05 09:28:43
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,HYPE,Short,190000.0000,52.94,10058993.20,2025/09/11 04:41:27,2025/10/05 09:58:56
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,ETH,Short,2000.0000,4573.59,9147184.67,2025/09/12 07:55:32,2025/10/06 20:48:31
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,SOL,Short,23000.0000,236.97,5450320.00,2025/09/11 15:39:59,2025/10/05 09:29:03
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,DOGE,Short,6000000.0000,0.29,1715474.09,2025/09/13 08:14:56,2025/09/13 16:50:24
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,LTC,Short,10000.0000,119.01,1190100.00,2025/10/02 17:07:40,2025/10/02 17:35:16
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,AVAX,Short,19448.3900,31.36,609837.51,2025/09/11 03:28:22,2025/09/18 20:39:12
0x1d52fe9bde2694f6172192381111a91e24304397,BTC,Long,238.4867,122702.23,29262853.35,2025/10/07 18:00:54,2025/10/07 18:12:02
0x1d52fe9bde2694f6172192381111a91e24304397,SOL,Long,70289.4700,225.38,15841730.40,2025/10/07 17:39:41,2025/10/07 17:44:48
0x1d52fe9bde2694f6172192381111a91e24304397,CAKE,Long,100838.8000,3.19,321354.19,2025/10/06 00:25:48,2025/10/06 01:10:02
0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,BTC,Long,50.0000,125888.11,6294405.70,2025/10/06 22:38:07,2025/10/06 22:38:07
0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,@107,Short,32671.0300,48.85,1595866.62,2025/10/06 15:45:03,2025/10/07 01:40:15
0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,HYPE,Short,18901.5500,48.91,924507.28,2025/10/06 15:45:03,2025/10/07 01:40:17
0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,SNX,Short,177363.8000,1.21,213730.30,2025/10/07 01:15:55,2025/10/07 01:41:04
0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,XPL,Long,44831.0000,0.91,40632.93,2025/10/06 15:49:33,2025/10/06 16:02:02
0x2ba553d9f990a3b66b03b2dc0d030dfc1c061036,@210,Short,44831.0000,0.91,40625.25,2025/10/06 15:49:32,2025/10/06 16:02:02
0x2ea18c23f72a4b6172c55b411823cdc5335923f4,@151,Short,3069.9851,4715.50,14476499.94,2025/08/25 10:07:02,2025/08/25 17:02:59
0x56498e5f90c14060499b62b6f459b3e3fb9280c5,APEX,Short,146870.0000,1.62,238323.99,2025/09/27 16:19:01,2025/10/04 18:17:38
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,SOL,Short,40050.0000,223.19,8938948.32,2025/09/22 06:43:17,2025/09/23 23:08:31
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,ETH,Short,899.8845,4328.95,3895558.52,2025/09/22 04:54:40,2025/09/22 04:55:42
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,BTC,Long,21.6189,110255.72,2383608.39,2025/09/28 22:55:34,2025/10/05 06:35:13
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,ASTER,Long,284225.0000,2.01,570195.99,2025/10/07 06:27:11,2025/10/07 11:03:33
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,STBL,Short,1341391.0000,0.29,390743.50,2025/10/07 06:27:16,2025/10/07 12:06:51
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,XPL,Short,194552.0000,1.03,200356.89,2025/10/07 10:28:31,2025/10/07 10:28:31
0xe4178ba889ac1c931861533b98bb86cb9d4858c7,XPL,Short,14772675.0000,1.16,17169235.71,2025/08/23 11:15:30,2025/08/27 01:24:37
0xe4178ba889ac1c931861533b98bb86cb9d4858c7,@180,Short,459908.0100,1.01,464617.78,2025/08/30 02:46:41,2025/08/30 03:30:00
0xe4178ba889ac1c931861533b98bb86cb9d4858c7,@166,Short,371341.7287,1.00,371493.70,2025/08/24 03:30:00,2025/09/03 03:30:00
0xe4178ba889ac1c931861533b98bb86cb9d4858c7,@150,Short,10.9900,1.00,11.00,2025/09/02 12:16:19,2025/09/02 12:16:19
